Nombre,Área,Objetivo,KR,Tipo,Líder,Participantes,Fecha Inicio,Fecha Término,% Avance,Estado,Notas
A | Competitividad/Compras Regionales,ABA | Proveedores,A | Competitividad/Compras Regionales,,Objetivo,A. Norero,A. Norero,,,0%,Pendiente,
01 Segmentación de proveedores,ABA | Proveedores,A | Competitividad/Compras Regionales,01 Segmentación de proveedores,Key Result,A. Norero,A. Norero,,,0%,Pendiente,
Actualizar la data de proveedores segmentados según parámetros definidos,ABA | Proveedores,A | Competitividad/Compras Regionales,01 Segmentación de proveedores,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
Benchmark segmentación proveedores con otras compañías mineras,ABA | Proveedores,A | Competitividad/Compras Regionales,01 Segmentación de proveedores,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
02 Licitación Herramienta Segmentación Proveedores,ABA | Proveedores,A | Competitividad/Compras Regionales,02 Licitación Herramienta Segmentación Proveedores,Key Result,A. Norero,A. Norero,,,0%,Pendiente,
Elaborar Bases Técnicas Servicio en conjunto con corporativo,ABA | Proveedores,A | Competitividad/Compras Regionales,02 Licitación Herramienta Segmentación Proveedores,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
Iniciar proceso de licitación,ABA | Proveedores,A | Competitividad/Compras Regionales,02 Licitación Herramienta Segmentación Proveedores,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
03 Mejorar disponibilidad de información de proveedores,ABA | Proveedores,A | Competitividad/Compras Regionales,03 Mejorar disponibilidad de información de proveedores,Key Result,A. Norero,A. Norero,,,0%,Pendiente,
"Identificar información y brechas que se requiere para la toma de decisiones (cliente externo, interno, responsable, etc)",ABA | Proveedores,A | Competitividad/Compras Regionales,03 Mejorar disponibilidad de información de proveedores,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
"Elaborar y ejecutar un plan para disponibilizar la información (reporte, dashboard, etc)",ABA | Proveedores,A | Competitividad/Compras Regionales,03 Mejorar disponibilidad de información de proveedores,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
B | Desarrollo Proveedores,ABA | Proveedores,B | Desarrollo Proveedores,,Objetivo,A. Norero,A. Norero,,,0%,Pendiente,
04 Acompañamiento gremios del Choapa,ABA | Proveedores,B | Desarrollo Proveedores,04 Acompañamiento gremios del Choapa,Key Result,A. Norero,A. Norero,,,0%,Pendiente,
Cumplir con la planificación de mesas de trabajo bimensual con gremios,ABA | Proveedores,B | Desarrollo Proveedores,04 Acompañamiento gremios del Choapa,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
Ejecutar Tercer encuentro gremios del Choapa y vicepresidente,ABA | Proveedores,B | Desarrollo Proveedores,04 Acompañamiento gremios del Choapa,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
Elaborar minuta del tercer encuentro,ABA | Proveedores,B | Desarrollo Proveedores,04 Acompañamiento gremios del Choapa,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
05 Acompañamiento de desempeño y profesionalización de los gremios,ABA | Proveedores,B | Desarrollo Proveedores,05 Acompañamiento de desempeño y profesionalización de los gremios,Key Result,A. Norero,A. Norero,,,0%,Pendiente,
Propuesta plan de trabajo para gremios en conjunto con cidere,ABA | Proveedores,B | Desarrollo Proveedores,05 Acompañamiento de desempeño y profesionalización de los gremios,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
Presentación y validación GAB,ABA | Proveedores,B | Desarrollo Proveedores,05 Acompañamiento de desempeño y profesionalización de los gremios,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
06 Plan de Capacitación y Formación por Segmentos / a medida,ABA | Proveedores,B | Desarrollo Proveedores,06 Plan de Capacitación y Formación por Segmentos / a medida,Key Result,A. Norero,A. Norero,,,0%,Pendiente,
Programa de proveedores con foco en formulación de ofertas técnicas y económicas,ABA | Proveedores,B | Desarrollo Proveedores,06 Plan de Capacitación y Formación por Segmentos / a medida,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
Programa de desarrollo sostenible de proveedores/competitividad UCN,ABA | Proveedores,B | Desarrollo Proveedores,06 Plan de Capacitación y Formación por Segmentos / a medida,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
Ejecutar instancias de retroalimentación de proveedores en base a resultados,ABA | Proveedores,B | Desarrollo Proveedores,06 Plan de Capacitación y Formación por Segmentos / a medida,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
Diseño Programa de Conductores para Transportistas Locales - Diagnóstico,ABA | Proveedores,B | Desarrollo Proveedores,06 Plan de Capacitación y Formación por Segmentos / a medida,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
C | Mano de Obra Femenina (MOF - MOL),ABA | Proveedores,C | Mano de Obra Femenina (MOF - MOL),,Objetivo,A. Norero,A. Norero,,,0%,Pendiente,
07 Perfil MOF/MOL,ABA | Proveedores,C | Mano de Obra Femenina (MOF - MOL),07 Perfil MOF/MOL,Key Result,A. Norero,A. Norero,,,0%,Pendiente,
Levantamiento de información del perfil de la mano de obra femenina/ Mano obra Local,ABA | Proveedores,C | Mano de Obra Femenina (MOF - MOL),07 Perfil MOF/MOL,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
Mapear las habilidades/competencias del perfil MOF/MOL para MLP y EECC,ABA | Proveedores,C | Mano de Obra Femenina (MOF - MOL),07 Perfil MOF/MOL,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
Diseño de programas de formación de talento con instituciones sector público y EECC,ABA | Proveedores,C | Mano de Obra Femenina (MOF - MOL),07 Perfil MOF/MOL,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
08 Incentivos MOF/MOL,ABA | Proveedores,C | Mano de Obra Femenina (MOF - MOL),08 Incentivos MOF/MOL,Key Result,A. Norero,A. Norero,,,0%,Pendiente,
"Revisar incentivos actuales de MOL Y MOF, proponer mejoras si aplica",ABA | Proveedores,C | Mano de Obra Femenina (MOF - MOL),08 Incentivos MOF/MOL,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
Implementar los Incentivos que se definan - MOF-MOL,ABA | Proveedores,C | Mano de Obra Femenina (MOF - MOL),08 Incentivos MOF/MOL,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
"Definir plan de trabajo para EECC (acuerdo corporativo, convenio desempeño, %MOF en estrategias)",ABA | Proveedores,C | Mano de Obra Femenina (MOF - MOL),08 Incentivos MOF/MOL,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
Iniciar plan de trabajo en conjunto con EECC enfocado en potenciar la MOF,ABA | Proveedores,C | Mano de Obra Femenina (MOF - MOL),08 Incentivos MOF/MOL,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
Incorporar metas de MOF en convenio desempeño de EECC (KPIs),ABA | Proveedores,C | Mano de Obra Femenina (MOF - MOL),08 Incentivos MOF/MOL,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
D | Gobernanza PPFM MLP,ABA | Proveedores,D | Gobernanza PPFM MLP,,Objetivo,A. Norero,A. Norero,,,0%,Pendiente,
09 Gobierno del PPFM MLP,ABA | Proveedores,D | Gobernanza PPFM MLP,09 Gobierno del PPFM MLP,Key Result,A. Norero,A. Norero,,,0%,Pendiente,
Implementación y formalización gobernanza del PPFM - MLP-,ABA | Proveedores,D | Gobernanza PPFM MLP,09 Gobierno del PPFM MLP,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
Puesta en marcha de un SteerCo PPFM MLP,ABA | Proveedores,D | Gobernanza PPFM MLP,09 Gobierno del PPFM MLP,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
10 Comunicaciones y Gestión del cambio,ABA | Proveedores,D | Gobernanza PPFM MLP,10 Comunicaciones y Gestión del cambio,Key Result,A. Norero,A. Norero,,,0%,Pendiente,
Diseñar una estrategia y plan de comunicación interna y externa específicos de PPFM MLP,ABA | Proveedores,D | Gobernanza PPFM MLP,10 Comunicaciones y Gestión del cambio,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
Ejecutar el Plan de difusión tanto interno como externo Proveedores  (Sensibilización PPFM).,ABA | Proveedores,D | Gobernanza PPFM MLP,10 Comunicaciones y Gestión del cambio,Tarea,A. Norero,A. Norero,,,0%,Pendiente,
